Anonymized Log Entry
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""DELETE /usr/admin/developer <ANONYMIZED>"" 500 5063 ""<ANONYMIZED> ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/<ANONYMIZED>"" 4919"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""PUT /usr HTTP/1.0"" 200 4889 ""-"" ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>; <ANONYMIZED>) Gecko/<ANONYMIZED> Firefox/84.0"" 1522"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""PUT /usr/login HTTP/1.0"" 304 5016 ""-"" ""Mozilla/5.0 (Linux; Android 10; ONEPLUS <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> Mobile Safari/537.36"" 3784"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""GET /usr HTTP/1.0"" 403 5076 ""<ANONYMIZED> ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"" 568"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""DELETE /usr/register HTTP/1.0"" 304 5078 ""<ANONYMIZED> ""Mozilla/5.0 (Android 10; <ANONYMIZED>; rv:84.0) Gecko/84.0 Firefox/84.0"" 283"
"<ANONYMIZED>27/Dec/2037:12:00:00 +0530] ""POST /usr/login HTTP/1.0"" 304 4947 ""<ANONYMIZED> ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>; <ANONYMIZED>) Gecko/<ANONYMIZED> Firefox/84.0"" 2631"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""PUT /usr/register HTTP/1.0"" 404 4996 ""<ANONYMIZED> ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> Safari/537.36"" <ANONYMIZED>"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""POST /usr HTTP/1.0"" 303 5040 ""<ANONYMIZED> ""Mozilla/5.0 (Linux; Android 10; ONEPLUS <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> Mobile Safari/537.36"" 3520"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""GET /usr/register HTTP/1.0"" 500 5058 ""<ANONYMIZED> ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>; <ANONYMIZED>) Gecko/<ANONYMIZED> Firefox/84.0"" <ANONYMIZED>"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""PUT /usr HTTP/1.0"" 303 5010 ""<ANONYMIZED> ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/<ANONYMIZED>"" <ANONYMIZED>"
"<ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""POST /usr/admin/developer <ANONYMIZED>"" 200 4993 ""-"" ""Mozilla/5.0 (Windows NT 10.0; <ANONYMIZED>; <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"" 4915"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""POST /usr/register HTTP/1.0"" 304 4963 ""<ANONYMIZED> ""Mozilla/5.0 (Linux; Android 10; ONEPLUS <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> Mobile Safari/537.36 EdgA/45.<ANONYMIZED>"" 1507"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""GET /usr/login HTTP/1.0"" 502 4989 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like <ANONYMIZED> (KHTML, like Gecko) <ANONYMIZED> Safari/604.1"" 571"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""POST /usr/login HTTP/1.0"" 200 4995 ""-"" ""Mozilla/5.0 (Linux; Android 10; ONEPLUS <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> Mobile Safari/537.36"" 4732"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""PUT /usr/register HTTP/1.0"" 200 4965 ""<ANONYMIZED> ""Mozilla/5.0 (Android 10; <ANONYMIZED>; rv:84.0) Gecko/84.0 Firefox/84.0"" 2836"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""GET /usr/login HTTP/1.0"" 500 4956 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like <ANONYMIZED> (KHTML, like Gecko) <ANONYMIZED> Safari/604.1"" 4072"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""POST /usr/admin/developer <ANONYMIZED>"" 200 5055 ""<ANONYMIZED> ""Mozilla/5.0 (Linux; Android 10; ONEPLUS <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> Mobile Safari/537.36 EdgA/45.<ANONYMIZED>"" 1532"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""PUT /usr/login HTTP/1.0"" 502 5001 ""<ANONYMIZED> ""Mozilla/5.0 (Linux; Android 10; ONEPLUS <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> Mobile Safari/537.36"" <ANONYMIZED>"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""POST /usr/admin/developer <ANONYMIZED>"" 200 5034 ""<ANONYMIZED> ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"" 3041"
"<IP-ANONYMIZED> - - [27/Dec/2037:12:00:00 +0530] ""PUT /usr/admin/developer <ANONYMIZED>"" 303 5037 ""<ANONYMIZED> ""Mozilla/5.0 (Linux; Android 10; ONEPLUS <ANONYMIZED>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<ANONYMIZED> <ANONYMIZED> Safari/537.36 OPR/61.2.3076.56749"" 1191"
